State,LGA,Partners covering,Total wards (LGA-scoped portions),Wards reported inaccessible,% of wards inaccessible (by count),"% of target HHs inaccessible (by ward, weighted)",Reported by (across all wards),Most recent report date (across all wards),Non-IDP: population (n_pop),Non-IDP: N_hh,Non-IDP: realized MoE %,IDP: population (n_pop),IDP: N_hh,IDP: realized MoE %
Nasarawa,Nasarawa-Eggon,CARE,17,0,0.0,0.0,Not yet reported,,187935.30894470215,31322.55149078369,9.27,1365,247,8.8
Nasarawa,Obi,CARE,13,0,0.0,0.0,Not yet reported,,151839.22409439087,25306.537349065144,9.18,1122,209,8.43
Plateau,Barikin Ladi,CRS,16,0,0.0,0.0,Not yet reported,,393224.3184814453,65537.38641357422,9.28,890,150,8.67
Plateau,Bassa,CRS,18,0,0.0,0.0,Not yet reported,,322917.84101867676,53819.64016977946,9.28,1555,305,8.72
Plateau,Bokkos,CRS,18,0,0.0,0.0,Not yet reported,,381707.02362060547,63617.837270100914,9.28,3041,557,9.06
Plateau,Mangu,COOPI,12,0,0.0,0.0,Partner,,490441.55071258545,81740.25845209758,9.28,11830,2343,9.08
Plateau,Riyom,COOPI,20,0,0.0,0.0,Partner,,263465.5090408325,43910.91817347208,9.27,6440,1215,9.19
Sokoto,Bodinga,ACF,12,0,0.0,0.0,Not yet reported,,305094.0268135071,50849.00446891785,9.28,1990,326,8.83
Sokoto,Goronyo,ACF,12,0,0.0,0.0,Not yet reported,,178017.02920913696,29669.504868189495,9.27,8406,1856,9.32
Sokoto,Gwadabawa,ACF,12,0,0.0,0.0,Not yet reported,,285692.1357498169,47615.35595830282,9.27,3147,534,9.02
Sokoto,Illela,DRC,14,0,0.0,0.0,Not yet reported,,164233.3740081787,27372.229001363117,9.27,1861,275,8.54
Sokoto,Isa,DRC; IRC; LHI,10,0,0.0,0.0,Partner,,144029.566116333,24004.9276860555,9.27,14047,3088,9.13
Sokoto,Rabah,ACF,11,0,0.0,0.0,Not yet reported,,175607.3538608551,29267.892310142517,9.27,8277,1648,9.29
Sokoto,Sabon Birni,IRC; LHI,10,0,0.0,0.0,Partner,,238497.08710479736,39749.514517466225,9.27,40729,8141,9.23
Sokoto,Shagari,CRS,14,0,0.0,0.0,Not yet reported,,203217.82891464233,33869.63815244039,9.27,14742,2596,9.1
Sokoto,Sokoto North,DRC,14,0,0.0,0.0,Not yet reported,,289092.7495651245,48182.12492752075,9.27,3369,807,8.99
Sokoto,Sokoto South,DRC,13,0,0.0,0.0,Not yet reported,,429367.9567871094,71561.32613118489,9.28,3674,644,9.17
Sokoto,Tambuwal,ACF,11,0,0.0,0.0,Not yet reported,,312165.556930542,52027.59282175699,9.28,17143,2518,9.1
Sokoto,Tangaza,IRC; LHI,10,0,0.0,0.0,Partner,,157058.68824005127,26176.448040008545,9.27,19151,3001,9.13
Sokoto,Wamako,CRS,13,0,0.0,0.0,Not yet reported,,666756.5336761475,111126.08894602458,9.28,3743,625,9.15
Yobe,Bade,NRC,10,0,0.0,0.0,Partner,2026-08-25,188139.3825302124,31356.5637550354,9.27,25096,3846,9.16
Yobe,Damaturu,NRC,11,0,0.0,0.0,Partner,2026-08-25,472767.0487213135,78794.50812021892,9.28,22585,3891,9.16
Yobe,Gujba,NRC,11,0,0.0,0.0,Partner,2026-08-25,202209.0013885498,33701.500231424965,9.27,48826,7046,9.22
Zamfara,Kaura Namoda,DRC,12,0,0.0,0.0,Not yet reported,,401074.020401001,66845.6700668335,9.28,16639,2968,9.13
Zamfara,Tsafe,IRC,10,0,0.0,0.0,Partner,,356904.43032073975,59484.07172012329,9.28,5240,849,9.02
